,train_loss,val_loss
0,0.3947705030441284,0.112810418009758
1,0.04362207278609276,0.025644753128290176
2,0.006814947351813316,0.008262141607701778
3,0.001625190838240087,0.01591973751783371
4,0.0006793801439926028,0.008745251223444939
5,0.0004241743590682745,0.010206946171820164
6,0.0025574686005711555,0.0007928659906610847
7,0.000656201911624521,0.0002767025725916028
8,0.00032076454954221845,0.0002645978529471904
9,0.00023512635380029678,0.00015208414697553962
10,0.0001780254824552685,0.00014819508942309767
11,0.0001500864455010742,0.00013045240484643728
12,0.00012541221803985536,0.00012101289757993072
13,0.00011053583875764161,0.00010833822307176888
14,9.836136450758204e-05,0.00010145953274331987
15,8.719330799067393e-05,9.552791016176343e-05
16,8.815788896754384e-05,5.2844676247332245e-05
17,7.960289076436311e-05,5.037545633967966e-05
18,7.199269020929933e-05,4.873748912359588e-05
